TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType_original,Location_original,Channel_original,CustomerOccupation_original,cluster_id
174.25,50.0,67.0,1.0,10528.34,Debit,Seattle,Online,Doctor,1
183.71,38.0,102.0,1.0,552.5200000000004,Debit,Denver,ATM,Engineer,1
345.39,58.0,80.0,1.0,6451.96,Credit,Phoenix,Online,Engineer,1
922.55,63.0,87.0,1.0,4715.84,Debit,Detroit,ATM,Retired,1
259.91,49.0,170.0,1.0,7176.86,Debit,Denver,Online,Doctor,0
154.71,34.0,157.0,1.0,1523.7200000000003,Debit,San Diego,Online,Doctor,0
1340.19,54.0,30.0,1.0,8654.28,Credit,Austin,Online,Engineer,1
24.560000000000002,64.0,69.0,1.0,9869.93,Debit,Mesa,Branch,Doctor,1
568.07,48.0,115.0,1.0,10556.81,Debit,Washington,ATM,Doctor,1
9.610000000000014,58.0,179.0,1.0,12883.91,Credit,San Diego,Online,Doctor,0
392.96,24.0,100.0,1.0,791.6499999999996,Debit,Kansas City,Online,Student,1
716.93,60.0,34.0,1.0,4064.02,Credit,Milwaukee,Online,Retired,1
223.85,53.0,55.0,4.0,2929.91,Debit,Kansas City,ATM,Engineer,2
230.66,21.0,135.0,1.0,618.0500000000002,Debit,Houston,Branch,Student,0
442.12,19.0,260.0,1.0,1375.8000000000002,Debit,Los Angeles,Online,Student,0
644.17,29.0,72.0,1.0,1143.52,Debit,San Antonio,ATM,Engineer,1
508.68,51.0,127.0,1.0,7708.41,Credit,Mesa,Branch,Engineer,1
858.6300000000001,27.0,185.0,1.0,1872.96,Credit,San Francisco,Branch,Student,0
25.360000000000014,57.0,78.0,1.0,201.03999999999996,Debit,Louisville,ATM,Engineer,1
147.62,71.0,133.0,1.0,2115.8,Debit,Charlotte,Branch,Retired,0
115.01999999999998,37.0,175.0,1.0,7643.66,Debit,San Antonio,Branch,Doctor,0
383.37,30.0,24.0,1.0,8901.93,Debit,Fort Worth,Branch,Engineer,1
98.54000000000002,20.0,167.0,1.0,9383.43,Credit,El Paso,Online,Student,0
83.24000000000001,55.0,164.0,1.0,1181.31,Credit,Fort Worth,Branch,Doctor,0
196.16,27.0,146.0,1.0,9418.86,Debit,Virginia Beach,Branch,Engineer,0
129.94,32.0,235.0,1.0,7954.92,Debit,Las Vegas,ATM,Engineer,0
306.9,46.0,51.0,1.0,9418.08,Debit,Colorado Springs,Online,Engineer,1
114.98000000000002,59.0,80.0,1.0,6144.68,Debit,Seattle,Online,Retired,1
756.59,27.0,17.0,1.0,420.64999999999964,Debit,Sacramento,Branch,Student,1
503.76,22.0,35.0,1.0,447.8199999999997,Debit,Los Angeles,Online,Student,1
143.03,63.0,147.0,1.0,7981.45,Debit,San Antonio,ATM,Retired,0
1045.22,53.0,73.0,1.0,1829.9,Debit,Columbus,ATM,Retired,1
245.54,25.0,180.0,1.0,985.0599999999995,Debit,New York,ATM,Student,0
254.37,51.0,174.0,1.0,8849.26,Credit,Dallas,Online,Engineer,0
213.76,78.0,282.0,1.0,3528.72,Credit,Dallas,ATM,Retired,0
327.86,40.0,104.0,1.0,480.15999999999985,Debit,Fresno,Online,Engineer,1
2.5,47.0,107.0,1.0,12145.27,Debit,San Diego,Online,Doctor,1
300.08,68.0,47.0,1.0,13546.75,Credit,Austin,Online,Doctor,1
56.97999999999999,43.0,122.0,2.0,5688.37,Credit,Oklahoma City,ATM,Engineer,1
407.65,26.0,62.0,1.0,8346.64,Debit,Boston,Online,Engineer,1
115.82999999999996,39.0,167.0,1.0,6481.04,Debit,Fresno,Branch,Engineer,0
53.56999999999999,69.0,121.0,1.0,1651.33,Debit,Houston,ATM,Retired,1
63.34,46.0,165.0,1.0,11174.94,Credit,Detroit,Online,Doctor,0
317.87,27.0,91.0,1.0,145.5,Debit,Detroit,Online,Student,1
331.65,41.0,61.0,1.0,4172.57,Debit,Portland,Online,Engineer,1
5.0400000000000205,56.0,41.0,1.0,5558.36,Debit,Washington,ATM,Retired,1
214.54,70.0,247.0,1.0,11151.53,Credit,Detroit,Online,Doctor,0
598.81,57.0,158.0,1.0,1415.52,Debit,Philadelphia,Branch,Doctor,0
841.28,26.0,80.0,1.0,1103.6400000000008,Debit,Tucson,Online,Student,1
38.14999999999998,26.0,108.0,1.0,303.6800000000003,Debit,Mesa,Online,Student,1
1036.66,58.0,144.0,1.0,5541.57,Debit,San Antonio,Branch,Doctor,0
124.72,33.0,105.0,1.0,6309.8,Debit,Oklahoma City,Branch,Engineer,1
302.45,78.0,40.000000000000014,1.0,5133.61,Credit,San Antonio,Branch,Retired,1
208.04,47.0,273.0,1.0,9344.98,Debit,Louisville,Online,Engineer,0
5.769999999999982,23.0,254.0,1.0,1117.9700000000003,Credit,Los Angeles,Branch,Student,0
381.33,56.0,75.0,1.0,11835.35,Debit,Albuquerque,ATM,Doctor,1
16.160000000000025,50.0,124.0,1.0,14401.17,Debit,Milwaukee,ATM,Doctor,1
486.08,18.0,68.0,1.0,1748.69,Debit,Oklahoma City,Online,Student,1
336.39,21.0,18.0,1.0,1000.46,Debit,San Antonio,Branch,Student,1
997.4300000000001,69.0,118.0,1.0,6810.05,Debit,Seattle,Online,Doctor,1
234.57,23.0,120.0,1.0,263.97999999999956,Debit,Chicago,Online,Student,1
6.0,30.0,246.0,1.0,5442.76,Debit,Chicago,Online,Doctor,0
1049.92,80.0,20.999999999999986,1.0,2037.85,Debit,Detroit,ATM,Retired,1
227.14,18.0,294.0,1.0,341.9399999999996,Debit,Charlotte,ATM,Student,0
233.74,66.0,17.0,1.0,1066.5900000000001,Credit,Oklahoma City,Online,Retired,1
113.01999999999998,69.0,166.0,1.0,6077.96,Credit,Jacksonville,Branch,Retired,0
45.849999999999994,20.0,92.0,1.0,1659.15,Debit,Los Angeles,ATM,Student,1
973.3900000000001,77.0,296.0,1.0,2042.2200000000003,Debit,Sacramento,Branch,Retired,0
514.95,41.0,142.0,5.0,421.9300000000003,Debit,New York,Online,Doctor,2
415.5,66.0,141.0,1.0,10113.66,Debit,Memphis,ATM,Doctor,0
265.76,54.0,92.0,1.0,4446.17,Debit,Philadelphia,Online,Retired,1
69.4,80.0,113.0,1.0,6452.77,Debit,Virginia Beach,Online,Retired,1
332.93,35.0,293.0,1.0,2788.2,Credit,Albuquerque,Branch,Engineer,0
267.9,20.0,160.0,1.0,596.1599999999999,Debit,San Antonio,Online,Student,0
496.03,61.0,265.0,1.0,12904.66,Debit,San Francisco,Branch,Doctor,0
376.26,37.0,245.0,1.0,9062.4,Debit,Tucson,ATM,Engineer,0
83.01999999999998,36.0,171.0,1.0,9009.56,Credit,Seattle,Online,Engineer,0
93.25999999999999,20.0,72.0,1.0,1152.1999999999998,Credit,New York,Online,Student,1
803.37,68.0,129.0,1.0,12168.37,Credit,Memphis,Branch,Doctor,0
35.75999999999999,23.0,122.0,1.0,611.8599999999997,Debit,Charlotte,Branch,Student,1
28.53000000000003,62.0,99.0,1.0,8670.53,Debit,Washington,Online,Doctor,1
139.53,53.0,177.0,1.0,10098.86,Credit,Louisville,Online,Doctor,0
307.57,33.0,285.0,1.0,5307.74,Debit,Detroit,Branch,Doctor,0
60.650000000000006,56.0,53.0,1.0,1047.2799999999993,Credit,Tucson,Branch,Retired,1
74.86000000000001,70.0,125.0,1.0,6921.48,Debit,Nashville,Branch,Doctor,1
117.97,51.0,137.0,1.0,1475.46,Debit,Kansas City,Branch,Retired,0
231.91,34.0,165.0,1.0,112.76000000000022,Debit,Memphis,ATM,Engineer,0
126.20999999999998,75.0,268.0,1.0,5669.66,Debit,Baltimore,Branch,Retired,0
506.28,53.0,162.0,2.0,1309.9499999999998,Credit,Chicago,Online,Retired,0
304.35,31.0,36.0,1.0,4057.1,Debit,Houston,Branch,Engineer,1
281.85,22.0,109.0,1.0,1585.98,Debit,Detroit,ATM,Student,1
777.88,31.0,17.0,1.0,6825.55,Debit,Houston,Branch,Engineer,1
119.18,56.0,96.0,1.0,5516.5,Debit,Los Angeles,Branch,Retired,1
177.19,76.0,43.0,1.0,5343.3,Debit,Chicago,Online,Retired,1
260.88,22.0,36.0,1.0,903.0500000000002,Debit,Denver,Branch,Student,1
169.47,24.0,19.0,1.0,1806.1599999999999,Debit,Chicago,Online,Student,1
73.23000000000002,26.0,14.0,1.0,787.7399999999998,Debit,Portland,Branch,Student,1
1362.55,29.0,106.0,1.0,2429.68,Debit,El Paso,ATM,Engineer,1
792.57,19.0,164.0,1.0,770.3699999999999,Debit,Baltimore,ATM,Student,0
237.06,71.0,46.0,1.0,1182.7700000000004,Debit,Phoenix,Online,Retired,1
34.170000000000016,54.0,54.0,1.0,726.5500000000002,Credit,Philadelphia,Online,Engineer,1
740.25,41.0,123.0,1.0,14464.3,Debit,Philadelphia,Online,Doctor,1
453.54,58.0,82.0,1.0,12046.3,Debit,Albuquerque,ATM,Doctor,1
300.47,73.0,100.0,1.0,7885.64,Debit,Jacksonville,Branch,Retired,1
110.92999999999998,19.0,201.0,1.0,1952.35,Credit,Virginia Beach,Branch,Student,0
201.69,59.0,299.0,1.0,7328.52,Debit,Las Vegas,ATM,Doctor,0
399.21,59.0,109.0,1.0,3210.39,Debit,Portland,ATM,Engineer,1
1041.88,78.0,57.0,1.0,5726.2,Debit,Jacksonville,Online,Retired,1
630.36,62.0,52.0,1.0,1363.65,Debit,Mesa,ATM,Retired,1
10.939999999999998,60.0,245.0,1.0,1241.9899999999998,Credit,Philadelphia,ATM,Engineer,0
215.9,38.0,235.0,1.0,7873.28,Debit,Los Angeles,ATM,Doctor,0
1422.55,79.0,165.0,1.0,5674.32,Debit,Washington,Branch,Retired,0
226.37,49.0,141.0,1.0,9840.04,Credit,Louisville,Branch,Doctor,0
444.89,43.0,101.0,1.0,10328.23,Credit,Las Vegas,Branch,Doctor,1
280.57,25.0,24.0,1.0,293.2399999999998,Credit,Virginia Beach,Online,Student,1
488.54,52.0,132.0,1.0,7486.63,Debit,Jacksonville,Branch,Engineer,0
3.3000000000000114,50.0,131.0,1.0,11385.37,Credit,Los Angeles,Branch,Doctor,0
199.39,69.0,165.0,1.0,7264.79,Debit,Colorado Springs,Branch,Retired,0
20.360000000000014,62.0,75.0,1.0,2762.48,Debit,Tucson,Branch,Retired,1
113.63999999999999,62.0,32.0,1.0,6675.03,Debit,Detroit,Online,Retired,1
493.11,53.0,236.0,1.0,7432.99,Debit,Colorado Springs,Branch,Retired,0
307.41,19.0,14.0,1.0,1057.0000000000005,Debit,Los Angeles,ATM,Student,1
11.180000000000007,43.0,161.0,1.0,5956.89,Debit,Atlanta,Online,Doctor,0
313.82,59.0,151.0,1.0,7261.59,Debit,Tucson,Branch,Engineer,0
51.0,64.0,107.0,1.0,4943.16,Debit,Seattle,Branch,Retired,1
140.98,60.0,100.0,1.0,8127.48,Debit,Memphis,Branch,Engineer,1
288.04,68.0,63.0,1.0,1748.02,Debit,Denver,ATM,Retired,1
800.55,31.0,108.0,1.0,9660.22,Debit,Oklahoma City,ATM,Engineer,1
485.54,46.0,143.0,1.0,6371.51,Debit,Houston,ATM,Engineer,0
521.15,54.0,214.0,1.0,9442.47,Debit,Kansas City,ATM,Doctor,0
321.79,63.0,61.0,1.0,5959.2,Credit,Raleigh,ATM,Retired,1
304.93,65.0,158.0,1.0,13531.22,Debit,Portland,ATM,Doctor,0
432.08,40.0,145.0,1.0,11500.62,Debit,El Paso,ATM,Doctor,0
694.2,61.0,72.0,1.0,1389.37,Debit,Milwaukee,ATM,Retired,1
116.86000000000001,55.0,171.0,1.0,6706.56,Debit,Louisville,ATM,Engineer,0
386.81,57.0,149.0,1.0,7175.29,Credit,Detroit,Online,Doctor,0
74.88,25.0,202.0,1.0,420.6700000000001,Debit,Atlanta,ATM,Student,0
195.76,75.0,99.0,1.0,7323.53,Debit,Philadelphia,Branch,Retired,1
134.7,50.0,106.0,1.0,8395.85,Debit,Fort Worth,ATM,Doctor,1
890.24,33.0,161.0,1.0,5140.93,Credit,Las Vegas,Online,Engineer,0
361.27,63.0,180.0,1.0,7945.57,Debit,Omaha,ATM,Doctor,0
131.56,44.0,42.0,1.0,5873.54,Debit,Charlotte,Branch,Doctor,1
485.51,76.0,37.0,1.0,3074.45,Credit,Milwaukee,Online,Retired,1
547.87,64.0,131.0,1.0,6155.76,Debit,Columbus,ATM,Retired,0
457.29999999999995,28.0,15.0,1.0,8318.29,Debit,Virginia Beach,Online,Engineer,1
506.24,58.0,64.0,1.0,230.09000000000015,Debit,Chicago,ATM,Engineer,1
486.59,57.0,119.0,1.0,2513.56,Debit,Indianapolis,Branch,Retired,1
163.68,41.0,292.0,1.0,10090.05,Debit,San Diego,Branch,Doctor,0
581.65,22.0,176.0,1.0,480.1899999999996,Debit,Boston,ATM,Student,0
52.00999999999999,48.0,85.0,1.0,1120.88,Debit,Mesa,ATM,Doctor,1
630.24,21.0,62.0,1.0,370.8100000000004,Debit,Boston,ATM,Student,1
523.74,43.0,159.0,1.0,13498.55,Debit,Oklahoma City,ATM,Doctor,0
705.6,40.0,124.0,3.0,14804.7,Debit,Phoenix,Branch,Doctor,2
217.5,46.0,35.0,1.0,3057.4,Credit,Denver,Branch,Engineer,1
91.48000000000002,51.0,141.0,1.0,14942.78,Debit,Fort Worth,ATM,Doctor,0
5.25,39.0,49.0,1.0,14143.32,Debit,San Jose,ATM,Doctor,1
54.03,56.0,161.0,1.0,6736.3,Credit,Milwaukee,ATM,Retired,0
736.73,48.0,10.0,1.0,3313.07,Debit,Memphis,Branch,Engineer,1
368.91,54.0,14.0,1.0,829.71,Debit,Virginia Beach,Branch,Doctor,1
33.06,53.0,170.0,1.0,1540.87,Credit,Fort Worth,Online,Retired,0
66.5,32.0,144.0,1.0,6820.23,Credit,Louisville,Online,Engineer,0
177.08,35.0,85.0,1.0,13475.14,Debit,Las Vegas,Online,Doctor,1
588.54,32.0,130.0,1.0,714.4499999999998,Debit,Portland,Branch,Engineer,0
173.5,21.0,282.0,1.0,1306.9099999999999,Debit,Nashville,ATM,Student,0
78.32999999999996,56.0,189.0,1.0,7255.33,Credit,Memphis,Online,Engineer,0
40.660000000000025,59.0,156.0,1.0,1153.8400000000006,Debit,Louisville,Branch,Retired,0
97.22,77.0,55.0,1.0,6647.73,Credit,Atlanta,Branch,Retired,1
34.06999999999999,22.0,81.0,1.0,8709.77,Debit,Philadelphia,Branch,Student,1
492.06,23.0,74.0,1.0,857.8999999999996,Debit,Fresno,Online,Student,1
842.01,53.0,185.0,1.0,509.4499999999998,Credit,Virginia Beach,Online,Doctor,0
73.55000000000001,51.0,158.0,1.0,2812.06,Debit,Atlanta,ATM,Engineer,0
760.53,57.0,118.0,1.0,6179.91,Debit,Phoenix,Online,Engineer,1
273.08,26.0,134.0,1.0,6609.3,Credit,Houston,Branch,Engineer,0
371.69,67.0,143.0,1.0,3484.32,Debit,San Francisco,Branch,Retired,0
218.96,18.0,13.000000000000014,1.0,754.21,Debit,Seattle,ATM,Student,1
227.39,18.0,65.0,1.0,751.0900000000001,Debit,Atlanta,Online,Student,1
237.99,39.0,86.0,1.0,8510.09,Credit,Kansas City,Branch,Doctor,1
186.6,58.0,13.000000000000014,1.0,1508.7200000000003,Debit,Washington,Online,Doctor,1
341.15,18.0,148.0,1.0,511.3699999999999,Debit,San Jose,Online,Student,0
434.58,59.0,215.0,1.0,12648.32,Debit,Memphis,ATM,Doctor,0
312.88,54.0,44.0,1.0,233.21000000000004,Credit,Portland,Branch,Engineer,1
75.15,23.0,154.0,1.0,1092.92,Debit,Boston,ATM,Student,0
23.30000000000001,59.0,161.0,1.0,6711.15,Debit,Los Angeles,ATM,Engineer,0
47.379999999999995,25.0,61.0,1.0,459.3699999999999,Credit,Seattle,Online,Student,1
512.81,79.0,30.0,1.0,6994.34,Debit,Sacramento,Branch,Retired,1
488.15,43.0,168.0,1.0,7071.09,Debit,Louisville,Branch,Engineer,0
12.819999999999993,44.0,156.0,1.0,9045.19,Debit,Fort Worth,ATM,Engineer,0
66.9,79.0,129.0,4.0,5238.71,Credit,Charlotte,Online,Retired,2
535.91,43.0,22.0,1.0,9642.12,Debit,Las Vegas,Online,Engineer,1
270.72,26.0,53.0,1.0,6263.96,Credit,Washington,Online,Engineer,1
97.98000000000002,72.0,18.0,1.0,7460.33,Debit,Denver,Branch,Retired,1
196.08,61.0,98.0,1.0,4233.82,Debit,San Francisco,Online,Retired,1
251.18,42.0,246.0,1.0,8303.9,Debit,San Jose,ATM,Engineer,0
44.52000000000004,28.0,205.0,1.0,314.27999999999975,Debit,El Paso,Online,Student,0
178.87,35.0,180.0,1.0,5241.23,Debit,Baltimore,Online,Doctor,0
1176.28,54.0,174.0,5.0,323.6899999999996,Credit,Kansas City,ATM,Engineer,2
386.68,46.0,128.0,1.0,6863.06,Debit,New York,Branch,Doctor,1
167.14,76.0,20.0,1.0,3877.73,Debit,Denver,Online,Retired,1
345.22,69.0,253.0,1.0,4046.58,Debit,Fresno,Branch,Retired,0
74.85,72.0,117.0,1.0,2409.73,Debit,Raleigh,ATM,Retired,1
671.73,58.0,54.0,1.0,5211.88,Debit,Washington,Branch,Engineer,1
255.04,45.0,152.0,1.0,6217.86,Debit,Seattle,ATM,Engineer,0
45.77000000000001,25.0,109.0,1.0,5978.12,Debit,Philadelphia,Online,Student,1
329.69,26.0,66.0,1.0,1671.6599999999999,Credit,San Antonio,Online,Student,1
362.04,58.0,198.0,2.0,8421.88,Credit,Philadelphia,Branch,Doctor,0
11.920000000000016,53.0,52.0,1.0,14611.9,Debit,San Diego,Branch,Doctor,1
47.41999999999999,64.0,28.0,1.0,8253.52,Debit,San Diego,ATM,Doctor,1
35.99000000000001,63.0,129.0,1.0,4489.79,Debit,Miami,Branch,Retired,0
151.19,37.0,96.0,1.0,11903.82,Credit,New York,Branch,Doctor,1
242.62,22.0,234.0,1.0,483.02000000000044,Credit,San Francisco,Online,Student,0
48.72,21.0,17.0,1.0,816.0799999999999,Debit,Virginia Beach,Branch,Student,1
43.46000000000001,25.0,80.0,1.0,578.0599999999995,Debit,Boston,ATM,Student,1
1036.2099999999998,25.0,126.0,1.0,477.3000000000002,Debit,Omaha,Online,Student,1
443.78999999999996,53.0,87.0,1.0,3133.8499999999995,Debit,Las Vegas,ATM,Retired,1
365.14,68.0,57.0,1.0,5894.09,Debit,Dallas,Online,Retired,1
757.41,22.0,37.0,1.0,9532.42,Debit,Los Angeles,ATM,Student,1
20.54000000000002,51.0,72.0,1.0,5327.03,Debit,Fort Worth,Branch,Engineer,1
475.36,34.0,105.0,1.0,2000.6,Debit,Phoenix,ATM,Engineer,1
34.74000000000001,56.0,24.0,1.0,6827.57,Debit,San Francisco,ATM,Retired,1
689.54,27.0,93.0,1.0,1633.7600000000002,Debit,Oklahoma City,Branch,Student,1
211.18,73.0,90.0,1.0,4069.17,Debit,Washington,ATM,Retired,1
211.36,51.0,286.0,1.0,7943.47,Credit,Fort Worth,Branch,Engineer,0
744.41,39.0,107.0,1.0,8842.47,Credit,Houston,Online,Engineer,1
61.43000000000001,24.0,170.0,1.0,1882.77,Debit,Phoenix,Online,Student,0
167.44,37.0,82.0,1.0,12526.71,Debit,Mesa,Branch,Doctor,1
361.46,21.0,83.0,1.0,4737.84,Debit,Nashville,Online,Student,1
378.85,78.0,126.0,1.0,2300.53,Debit,Virginia Beach,Branch,Retired,1
241.11,30.0,55.0,1.0,12385.05,Debit,Columbus,Branch,Doctor,1
131.93,31.0,13.000000000000014,1.0,4547.06,Credit,Fort Worth,Branch,Engineer,1
20.28000000000003,36.0,213.0,1.0,2047.83,Debit,Oklahoma City,Online,Engineer,0
415.88,70.0,170.0,1.0,10008.33,Debit,San Diego,Branch,Doctor,0
49.99000000000001,62.0,139.0,1.0,2299.64,Debit,Omaha,ATM,Retired,0
1221.65,27.0,153.0,1.0,243.92000000000007,Debit,Denver,Online,Student,0
100.66,50.0,144.0,1.0,14473.33,Debit,Dallas,Branch,Doctor,0
485.54,19.0,148.0,1.0,1533.3199999999997,Debit,Louisville,Online,Student,0
321.15,46.0,179.0,1.0,7005.05,Debit,Los Angeles,Branch,Doctor,0
711.3,21.0,51.0,1.0,955.3999999999996,Debit,San Jose,Branch,Student,1
12.230000000000018,42.0,139.0,1.0,7844.88,Debit,Houston,ATM,Engineer,0
350.94,20.0,64.0,1.0,221.5600000000004,Debit,Colorado Springs,ATM,Student,1
301.85,54.0,25.0,1.0,6586.19,Debit,Columbus,Online,Engineer,1
29.339999999999975,65.0,30.0,1.0,3944.82,Debit,Louisville,Online,Retired,1
231.71,27.0,148.0,1.0,1127.98,Debit,Raleigh,Branch,Student,0
179.43,58.0,244.0,1.0,2626.63,Debit,Oklahoma City,ATM,Retired,0
36.70999999999998,48.0,55.0,1.0,6459.38,Debit,Jacksonville,Branch,Doctor,1
138.12,53.0,281.0,1.0,1649.69,Credit,Los Angeles,Branch,Doctor,0
233.24,33.0,72.0,1.0,6939.23,Debit,Louisville,ATM,Engineer,1
